Product Model Name,Brand,Category,Base Price (AED),Variant Spec / Storage & RAM,Spec Boost (AED),Total Valuation (AED),Colors
Google Pixel 9 Pro XL (2024),Google,mobile,2900,128GB / 16GB RAM,0,2900,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,256GB / 16GB RAM,300,3200,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,512GB / 16GB RAM,700,3600,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,1TB / 16GB RAM,1200,4100,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,128GB / 16GB RAM,0,2500,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,256GB / 16GB RAM,250,2750,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,512GB / 16GB RAM,600,3100,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 (2024),Google,mobile,1900,128GB / 12GB RAM,0,1900,"Obsidian, Porcelain, Wintergreen, Peony"
Google Pixel 9 (2024),Google,mobile,1900,256GB / 12GB RAM,250,2150,"Obsidian, Porcelain, Wintergreen, Peony"
Google Pixel 9 Pro Fold (2024),Google,mobile,3800,256GB / 16GB RAM,0,3800,"Obsidian, Porcelain"
Google Pixel 9 Pro Fold (2024),Google,mobile,3800,512GB / 16GB RAM,500,4300,"Obsidian, Porcelain"
Google Pixel 8a (2024),Google,mobile,1200,128GB / 8GB RAM,0,1200,"Obsidian, Porcelain, Bay, Aloe"
Google Pixel 8a (2024),Google,mobile,1200,256GB / 8GB RAM,180,1380,"Obsidian, Porcelain, Bay, Aloe"
Google Pixel 8 Pro (2023),Google,mobile,1800,128GB / 12GB RAM,0,1800,"Obsidian, Porcelain, Bay, Mint"
Google Pixel 8 Pro (2023),Google,mobile,1800,256GB / 12GB RAM,200,2000,"Obsidian, Porcelain, Bay, Mint"
Google Pixel 8 Pro (2023),Google,mobile,1800,512GB / 12GB RAM,450,2250,"Obsidian, Porcelain, Bay, Mint"
Google Pixel 8 (2023),Google,mobile,1350,128GB / 8GB RAM,0,1350,"Obsidian, Hazel, Rose, Mint"
Google Pixel 8 (2023),Google,mobile,1350,256GB / 8GB RAM,180,1530,"Obsidian, Hazel, Rose, Mint"
Google Pixel Fold (2023),Google,mobile,2400,256GB / 12GB RAM,0,2400,"Obsidian, Porcelain"
Google Pixel Fold (2023),Google,mobile,2400,512GB / 12GB RAM,400,2800,"Obsidian, Porcelain"
Google Pixel 7a (2023),Google,mobile,850,128GB / 8GB RAM,0,850,"Charcoal, Snow, Sea, Coral"
Google Pixel 7 Pro (2022),Google,mobile,1200,128GB / 12GB RAM,0,1200,"Obsidian, Snow, Hazel"
Google Pixel 7 Pro (2022),Google,mobile,1200,256GB / 12GB RAM,150,1350,"Obsidian, Snow, Hazel"
Google Pixel 7 Pro (2022),Google,mobile,1200,512GB / 12GB RAM,350,1550,"Obsidian, Snow, Hazel"
Google Pixel 7 (2022),Google,mobile,950,128GB / 8GB RAM,0,950,"Obsidian, Snow, Lemongrass"
Google Pixel 7 (2022),Google,mobile,950,256GB / 8GB RAM,150,1100,"Obsidian, Snow, Lemongrass"
Google Pixel 6 Pro (2021),Google,mobile,800,128GB / 12GB RAM,0,800,"Stormy Black, Cloudy White, Sorta Sunny"
Google Pixel 6 Pro (2021),Google,mobile,800,256GB / 12GB RAM,120,920,"Stormy Black, Cloudy White, Sorta Sunny"
Google Pixel 6 (2021),Google,mobile,650,128GB / 8GB RAM,0,650,"Stormy Black, Sorta Seafoam, Kinda Coral"
Google Pixel 6 (2021),Google,mobile,650,256GB / 8GB RAM,100,750,"Stormy Black, Sorta Seafoam, Kinda Coral"
OnePlus 12 (2024),OnePlus,mobile,2300,256GB / 12GB RAM,0,2300,"Silky Black, Flowy Emerald"
OnePlus 12 (2024),OnePlus,mobile,2300,512GB / 16GB RAM,350,2650,"Silky Black, Flowy Emerald"
OnePlus 12 (2024),OnePlus,mobile,2300,1TB / 16GB RAM,700,3000,"Silky Black, Flowy Emerald"
OnePlus 12R (2024),OnePlus,mobile,1450,128GB / 8GB RAM,0,1450,"Cool Blue, Iron Gray"
OnePlus 12R (2024),OnePlus,mobile,1450,256GB / 16GB RAM,250,1700,"Cool Blue, Iron Gray"
OnePlus Open (2023),OnePlus,mobile,3600,512GB / 16GB RAM,0,3600,"Voyager Black, Emerald Dusk"
OnePlus 11 5G (2023),OnePlus,mobile,1500,128GB / 8GB RAM,0,1500,"Titan Black, Eternal Green"
OnePlus 11 5G (2023),OnePlus,mobile,1500,256GB / 16GB RAM,250,1750,"Titan Black, Eternal Green"
OnePlus 11R 5G (2023),OnePlus,mobile,1100,128GB / 8GB RAM,0,1100,"Sonic Black, Galactic Silver"
OnePlus 11R 5G (2023),OnePlus,mobile,1100,256GB / 16GB RAM,200,1300,"Sonic Black, Galactic Silver"
OnePlus 10 Pro 5G (2022),OnePlus,mobile,1150,128GB / 8GB RAM,0,1150,"Volcanic Black, Emerald Forest"
OnePlus 10 Pro 5G (2022),OnePlus,mobile,1150,256GB / 12GB RAM,200,1350,"Volcanic Black, Emerald Forest"
OnePlus 10T 5G (2022),OnePlus,mobile,1000,128GB / 8GB RAM,0,1000,"Moonstone Black, Jade Green"
OnePlus 10T 5G (2022),OnePlus,mobile,1000,256GB / 16GB RAM,200,1200,"Moonstone Black, Jade Green"
OnePlus 9 Pro 5G (2021),OnePlus,mobile,850,128GB / 8GB RAM,0,850,"Morning Mist, Stellar Black, Pine Green"
OnePlus 9 Pro 5G (2021),OnePlus,mobile,850,256GB / 12GB RAM,150,1000,"Morning Mist, Stellar Black, Pine Green"
OnePlus 9 5G (2021),OnePlus,mobile,700,128GB / 8GB RAM,0,700,"Astral Black, Winter Mist, Arctic Sky"
OnePlus 9 5G (2021),OnePlus,mobile,700,256GB / 12GB RAM,120,820,"Astral Black, Winter Mist, Arctic Sky"
OnePlus Nord 4 (2024),OnePlus,mobile,1150,256GB / 8GB RAM,0,1150,"Obsidian Midnight, Oasis Green, Mercurial Silver"
OnePlus Nord 4 (2024),OnePlus,mobile,1150,256GB / 12GB RAM,120,1270,"Obsidian Midnight, Oasis Green, Mercurial Silver"
OnePlus Nord 4 (2024),OnePlus,mobile,1150,512GB / 16GB RAM,280,1430,"Obsidian Midnight, Oasis Green, Mercurial Silver"
OnePlus Nord CE 4 (2024),OnePlus,mobile,800,128GB / 8GB RAM,0,800,"Dark Chrome, Celadon Marble"
OnePlus Nord CE 4 (2024),OnePlus,mobile,800,256GB / 8GB RAM,120,920,"Dark Chrome, Celadon Marble"
OnePlus Nord 3 5G (2023),OnePlus,mobile,750,128GB / 8GB RAM,0,750,"Misty Green, Tempest Gray"
OnePlus Nord 3 5G (2023),OnePlus,mobile,750,256GB / 16GB RAM,150,900,"Misty Green, Tempest Gray"
